barcode_id	gene_id	high_prop
248	1399	1
249	24149	1
250	2222	1
251	10131	1
252	2958	1
253	5715	1
254	9650	1
255	7319	1
256	4817	1
257	9143	1
258	4791	1
259	10494	1
260	55324	1
261	23149	1
262	9943	1
263	6599	1
264	56924	1
265	2690	1
266	51031	1
267	1019	1
268	3566	1
269	51422	1
270	3815	1
271	5788	1
272	8624	1
273	27346	1
274	10489	1
275	26128	1
276	79921	1
277	55746	1
278	23636	1
279	6709	1
280	10892	1
281	10652	1
282	11004	1
283	23530	1
284	1277	1
285	993	1
286	7157	1
287	8826	1
288	1958	1
289	4582	1
290	9212	1
291	3308	1
292	7153	1
293	8440	1
294	6790	1
295	11041	1
296	8851	1
297	6342	1
298	5883	1
299	10589	1
300	5110	1
301	2534	1
302	4609	1
303	5423	1
304	1070	1
305	10051	1
306	6603	1
307	9019	1
308	4893	1
309	10969	1
310	9797	1
311	4043	1
312	665	1
313	9519	1
314	8480	1
315	983	1
316	10559	1
317	8508	1
318	9275	1
319	8914	1
320	54505	1
321	4313	1
322	6919	1
323	2274	1
324	2288	1
325	7994	1
326	1022	1
327	4216	1
328	7538	1
329	3628	1
330	5880	1
331	3162	1
332	1282	1
333	2037	1
334	2771	1
335	7264	1
336	1786	1
337	5873	1
338	780	1
339	9926	1
340	8446	1
341	7159	1
342	1026	1
343	7082	1
344	10058	1
345	10797	1
346	11230	1
347	30836	1
348	27336	1
349	9918	1
350	79073	1
351	3383	1
352	9688	1
353	23659	1
354	8396	1
355	23077	1
356	10857	1
357	16	1
358	2817	1
359	60528	1
360	5359	1
361	1514	1
362	1509	1
363	9181	1
364	3611	1
365	4783	1
366	10123	1
367	8895	1
368	727	1
369	9805	1
370	4125	1
371	4792	1
372	1635	1
373	4154	1
374	26292	1
375	5770	1
376	25874	1
377	11319	1
378	1153	1
379	4794	1
380	11098	1
381	902	1
382	8974	1
383	533	1
384	823	1
385	6812	1
386	3693	1
387	4891	1
388	10954	1
389	5909	1
390	9221	1
391	847	1
392	11072	1
393	8091	1
394	3486	1
395	10221	1
396	7158	1
397	10818	1
398	8678	1
399	11014	1
400	1994	1
401	3454	1
402	4282	1
403	1605	1
404	10644	1
405	3482	1
406	25976	1
407	10491	1
408	51053	1
409	9267	1
410	5547	1
411	6597	1
412	5836	1
413	6118	1
414	2065	1
415	2961	1
416	310	1
417	7296	1
418	8321	1
419	1429	1
420	2548	1
421	6499	1
422	642	1
423	23076	1
424	10099	1
425	8503	1
426	9817	1
427	7027	1
428	9126	1
429	3930	1
430	10450	1
431	54386	1
432	664	1
433	596	1
434	10180	1
435	1445	1
436	230	1
437	9246	1
438	6850	1
439	5092	1
440	23463	1
441	1978	1
442	10007	1
443	896	1
444	4925	1
445	6251	1
446	5777	1
447	1846	1
448	5782	1
449	5106	1
450	5925	1
451	2673	1
452	644	1
453	6284	1
454	4605	1
455	6810	1
456	54499	1
457	142	1
458	11007	1
459	1643	1
460	25805	1
461	3033	1
462	2745	1
463	9961	1
464	3925	1
465	2582	1
466	5792	1
467	5236	1
468	4016	1
469	4651	1
470	3988	1
471	26227	1
472	7982	1
473	3551	1
474	5108	1
475	8870	1
476	2195	1
477	8731	1
478	1956	1
479	10276	1
480	1666	1
481	1021	1
482	4864	1
483	4232	1
484	5050	1
485	813	1
486	3964	1
487	26020	1
488	481	1
489	5019	1
490	291	1
491	5699	1
492	10973	1
493	9697	1
494	5831	1
495	8202	1
496	57804	1
497	8061	1
498	5566	1
500	57149	1
12	7416	0
13	10174	0
14	6676	0
15	1870	0
16	8884	0
17	5997	0
18	57147	0
19	6909	0
20	9093	0
21	23142	0
22	8444	0
23	11232	0
24	27095	0
25	10732	0
26	1398	0
27	23029	0
28	9270	0
29	47	0
30	5889	0
31	8243	0
32	10730	0
33	30	0
34	3312	0
35	891	0
36	7466	0
37	89910	0
38	56654	0
39	501	0
40	4775	0
41	5111	0
42	5438	0
43	5696	0
44	26993	0
45	55111	0
46	8520	0
47	10146	0
48	7165	0
49	55011	0
50	5588	0
51	6461	0
52	10813	0
53	80746	0
54	6839	0
55	10434	0
56	329	0
57	5607	0
58	22827	0
59	51635	0
60	84159	0
61	5058	0
62	998	0
63	3508	0
64	84890	0
65	79600	0
66	8574	0
67	5529	0
68	3909	0
69	9134	0
70	9637	0
71	8518	0
72	6443	0
73	58478	0
74	4850	0
75	6616	0
76	23210	0
77	54733	0
78	55129	0
79	10273	0
80	5223	0
81	572	0
82	5716	0
83	22841	0
84	2356	0
85	6050	0
86	64422	0
87	4690	0
88	8837	0
89	55127	0
90	23335	0
91	10270	0
92	6509	0
93	83743	0
94	6772	0
95	22887	0
96	51001	0
97	26511	0
98	7874	0
99	51070	0
100	1738	0
101	3416	0
102	958	0
103	9128	0
104	9833	0
105	1616	0
106	4088	0
107	5018	0
108	51375	0
109	55038	0
110	23061	0
111	991	0
112	64428	0
113	11325	0
114	9641	0
115	6347	0
116	23038	0
117	57048	0
118	94239	0
119	51203	0
120	388650	0
121	6714	0
122	652	0
123	23039	0
124	55179	0
125	5827	0
126	10245	0
127	6813	0
128	4331	0
129	3251	0
130	23212	0
131	23536	0
132	51282	0
133	10227	0
134	50813	0
135	51024	0
136	53343	0
137	1465	0
138	79006	0
139	6988	0
140	11011	0
141	23325	0
142	10049	0
143	7099	0
144	3157	0
145	200734	0
146	9053	0
147	79094	0
148	2778	0
149	54881	0
150	54807	0
151	10320	0
152	323	0
153	26001	0
154	2042	0
155	10190	0
156	9686	0
157	843	0
158	54915	0
159	23658	0
160	7750	0
161	79643	0
162	840	0
163	9488	0
164	11200	0
165	65057	0
166	6832	0
167	23131	0
168	7048	0
169	4851	0
170	6464	0
171	10776	0
172	6253	0
173	79716	0
174	23410	0
175	29978	0
176	9988	0
177	10845	0
178	54957	0
179	79170	0
180	10610	0
181	128	0
182	51026	0
183	5498	0
184	124583	0
185	9455	0
186	1212	0
187	5255	0
188	54205	0
189	9448	0
190	9924	0
191	5480	0
192	1983	0
193	2770	0
194	56889	0
195	79080	0
196	9016	0
197	6915	0
198	80204	0
199	9709	0
200	116832	0
201	670	0
202	7867	0
203	79143	0
204	11284	0
205	23443	0
206	51599	0
207	4208	0
208	5927	0
209	55793	0
210	5867	0
211	7866	0
212	25825	0
213	4067	0
214	51015	0
215	1845	0
216	5891	0
217	23368	0
218	3300	0
219	64781	0
220	51056	0
221	8550	0
222	50810	0
223	5583	0
224	23011	0
225	11168	0
226	1385	0
227	10150	0
228	29763	0
229	9112	0
230	23499	0
231	8900	0
232	85236	0
233	5096	0
234	55620	0
235	5373	0
236	51170	0
237	54850	0
238	80349	0
239	355	0
240	1062	0
241	8804	0
242	80758	0
243	375346	0
244	51385	0
245	581	0
246	55748	0
247	10318	0
248	54681	0
249	7905	0
250	28969	0
251	10668	0
252	51005	0
253	8800	0
254	54438	0
255	55825	0
256	8835	0
257	64429	0
258	3682	0
259	10329	0
260	27109	0
261	51335	0
262	3202	0
263	2896	0
264	79902	0
265	29083	0
266	5747	0
267	22905	0
268	63933	0
269	9847	0
270	51021	0
271	6193	0
272	8996	0
273	7376	0
274	5357	0
275	56940	0
276	6195	0
277	1633	0
278	23321	0
279	6622	0
280	51160	0
281	55604	0
282	11261	0
283	2063	0
284	54512	0
285	9124	0
286	79174	0
287	23223	0
288	39	0
289	57215	0
290	1052	0
291	23139	0
292	79947	0
293	4616	0
294	9710	0
295	6990	0
296	29082	0
297	9670	0
298	81533	0
299	6696	0
300	10525	0
301	2353	0
302	57192	0
303	3398	0
304	3775	0
305	8312	0
306	26064	0
307	29103	0
308	3206	0
309	835	0
310	1500	0
311	7690	0
312	29911	0
313	2064	0
314	65123	0
315	5986	0
316	85377	0
317	9903	0
318	7088	0
319	8324	0
320	22796	0
321	51116	0
322	54442	0
323	10695	0
324	102	0
325	965	0
326	3800	0
327	10362	0
328	5300	0
329	8270	0
330	27242	0
331	9928	0
332	1848	0
333	1534	0
334	5654	0
335	10810	0
336	7105	0
337	23014	0
338	55012	0
339	154	0
340	2887	0
341	4312	0
342	9183	0
343	11151	0
344	7511	0
345	10046	0
346	1829	0
347	11000	0
348	976	0
349	3597	0
350	178	0
351	994	0
352	2625	0
353	6119	0
354	26136	0
355	6697	0
356	5971	0
357	2048	0
358	22934	0
359	9289	0
360	4931	0
361	1111	0
362	4200	0
363	5154	0
364	93594	0
365	5982	0
366	26520	0
367	4998	0
368	10038	0
369	60493	0
370	51495	0
371	4482	0
372	23224	0
373	9690	0
374	80212	0
375	2920	0
376	29928	0
377	22809	0
378	50814	0
379	55256	0
380	56997	0
381	81544	0
382	6894	0
383	64080	0
384	55818	0
385	637	0
386	22823	0
387	3122	0
388	5287	0
389	91137	0
390	23097	0
391	9851	0
392	23522	0
393	1123	0
394	5603	0
395	51569	0
396	2769	0
397	55699	0
398	2624	0
399	5900	0
400	8204	0
401	9133	0
402	10921	0
403	6304	0
404	51742	0
405	2954	0
406	27244	0
407	23013	0
408	5211	0
409	8050	0
410	79961	0
411	2017	0
412	55148	0
413	2886	0
414	960	0
415	10451	0
416	57406	0
417	9261	0
418	51719	0
419	7074	0
420	10059	0
421	51071	0
422	5796	0
423	55008	0
424	8569	0
425	23597	0
426	8869	0
427	8727	0
428	63874	0
429	8821	0
430	57178	0
431	5468	0
432	10557	0
433	831	0
434	9531	0
435	2767	0
436	1861	0
437	10165	0
438	7106	0
439	2908	0
440	57761	0
441	23338	0
442	7852	0
443	55033	0
444	57019	0
445	91949	0
446	84617	0
447	25	0
448	899	0
449	3303	0
450	79850	0
451	51466	0
452	2852	0
453	55837	0
454	2131	0
455	5427	0
456	5331	0
457	25966	0
458	55608	0
459	1662	0
460	9702	0
461	11031	0
462	10057	0
463	5985	0
464	3280	0
465	55958	0
466	51465	0
467	2542	0
468	5347	0
469	10641	0
470	11137	0
471	9842	0
472	10493	0
473	10112	0
474	1001	0
475	23635	0
476	29916	0
477	2810	0
478	5993	0
479	11142	0
480	79187	0
481	51382	0
482	8318	0
483	9695	0
484	4638	0
485	9712	0
486	64943	0
487	9738	0
488	6793	0
489	7358	0
490	58472	0
491	50865	0
492	2264	0
493	1029	0
494	23200	0
495	51293	0
496	1027	0
497	10962	0
498	10153	0
499	2597	0
500	874	0
